ptr,TOT_ENR_M,TOT_ENR_F,TOT_ENR,Mean_rating
16.283472,1551,1471,3022,3.25
12.130314,533,516,1049,3.25
12.472222,227,211,438,3
10.521663,367,330,697,3.125
16.023632,3491,3482,6973,3.25
17.249954,4408,4050,8458,3.375
13.011411,487,405,892,1.75
15.361004,22030,21289,43319,3.25
17.499161,3371,3171,6542,4
10.752889,302,276,578,3.875
14.738856,17217,16346,33563,3.625
11.857436,86,73,159,3.625
12.218602,444,383,827,2.625
13.69232,3733,3504,7237,3.875
10.231023,296,279,575,4
11.561461,151,181,332,2.5
14.703571,912,847,1759,3.125
11.295086,693,658,1351,3.75
14.718213,2831,2752,5583,3.25
13.915788,7266,6863,14129,3
15.874843,2221,2107,4328,2.875
10.946133,193,178,371,3.125
10.404255,249,255,504,3.625
14.030373,556,536,1092,3.875
13.122642,746,657,1403,2.875
9.4494047,209,218,427,3.75
16.544386,5648,5335,10983,3.25
13.809312,1144,1036,2180,3.25
11.757576,563,531,1094,2.5
9.2872572,98,83,181,3
14.984074,7764,7379,15143,3.625
16.788738,9569,9077,18646,3
15.039519,31731,30031,61762,3.125
16.018328,6407,5963,12370,2.875
10.24,39,30,69,4
10.75185,300,252,552,3.5
16.092558,300,315,615,3
14.327808,393,383,776,3
10.489322,209,191,400,3.625
16.46751,11618,10963,22581,3.625
14.341546,1698,1889,3587,3.875
13.529791,339,257,596,3
13.328808,905,878,1783,2.625
11.847038,266,252,518,2.25
9.8005571,230,248,478,2.75
16.872208,3785,3420,7205,3.5
18.273788,23211,22125,45336,3
10.974644,150,140,290,3.375
16.733503,3811,3525,7336,3.75
13.053014,1087,1018,2105,3.375
15.223976,1018,950,1968,3.375
14.786662,2556,2431,4987,3.125
14.564938,2510,2236,4746,3.125
10.108141,344,294,638,4
13.168006,1010,1013,2023,3
16.9424,22484,21273,43757,3.375
10.169492,265,264,529,3.25
14.50677,3612,3469,7081,4
16.445562,3345,3070,6415,4
10.011848,74,81,155,2
14.939646,15185,14402,29587,3
15.6113,29699,27653,57352,3.25
13.76758,1106,1052,2158,3
15.340291,701,677,1378,3.5
15.035157,20679,19748,40427,3.75
14.521189,42813,40929,83742,4
12.606014,337,295,632,2.75
10.864346,98,83,181,3.375
16.801472,58513,55399,113912,2.875
11.339992,323,212,535,4
14.977215,3162,2817,5979,3.125
14.563898,12584,11535,24119,4
15.376215,2160,2026,4186,3.375
15.166159,8698,8254,16952,2.5
10.202227,218,240,458,4
12.19878,1275,1197,2472,3.75
9.3541203,96,71,167,2
13.286485,848,756,1604,3
14.138318,707,703,1410,2.875
11.20475,304,285,589,3.125
15.747498,2095,1898,3993,3.25
11.281191,273,249,522,3.375
15.700527,2147,1978,4125,2.375
10.516717,87,75,162,2.25
17.341938,5269,4824,10093,3.5
13.188175,863,818,1681,2.625
15.334088,712,678,1390,2.875
15.18121,4324,4173,8497,3.75
15.757262,34957,32869,67826,4
15.125443,81194,77747,158941,3.5
15.862259,18232,17115,35347,3
10.044793,517,426,943,3.25
15.029647,344,284,628,3.25
14.12233,1482,1388,2870,3.875
11.396552,322,322,644,2.125
11.397145,264,224,488,3
15.622317,32711,30694,63405,3.875
11.299435,72,62,134,3
14.087826,1023,891,1914,3.125
13.305275,2771,2450,5221,3.375
17.183767,4892,4469,9361,3.25
13.296296,1673,1559,3232,3.375
11.824818,125,119,244,3.125
15.637034,19152,17753,36905,2.875
15.480251,2199,2085,4284,2.875
12.342276,593,563,1156,2.75
8.7359095,126,105,231,3.375
8.8854647,88,90,178,3.125
13.681713,989,943,1932,2.75
13.407525,1293,1227,2520,2.625
10.796915,81,84,165,2.875
13.250766,569,464,1033,3.125
11.477317,462,442,904,4
14.344442,453,444,897,2.625
12.663796,675,698,1373,3.25
13.121959,399,407,806,2.5
10.823258,400,343,743,3
14.135876,300,272,572,4
14.825225,2990,2819,5809,3
10.704226,180,185,365,3.375
14.319047,1195,1158,2353,2.25
17.029362,5407,5129,10536,3.25
11.346326,616,544,1160,3
15.433036,12246,11523,23769,3.75
15.549445,7196,6656,13852,2.875
12.006535,467,407,874,2.875
14.554434,4359,4258,8617,2.25
13.316497,617,565,1182,4
13.482881,305,269,574,2.75
14.913401,5359,4913,10272,2.875
13.153007,566,529,1095,3.5
15.091968,1819,1730,3549,3.25
9.0876694,144,133,277,3
11.714286,410,375,785,2.625
11.419525,548,570,1118,2.625
17.12821,2093,1987,4080,3.875
11.654168,681,639,1320,2.375
14.926206,2065,1934,3999,3.5
11.760124,314,282,596,3.375
7.9901962,64,79,143,2.142857143
10.942348,336,320,656,3.125
6.8627453,56,59,115,3.625
14.262081,838,779,1617,3.375
12.59715,408,413,821,2.625
14.284018,9433,8856,18289,2.875
15.14678,4109,3778,7887,2.875
14.683609,1307,1161,2468,2
12.276103,157,129,286,2.5
11.066979,305,282,587,2.875
15.7204,4543,4318,8861,2.5
14.191636,861,821,1682,2.75
10.847607,514,449,963,3
11.459878,1875,1832,3707,4
15.502697,2337,2188,4525,3.75
9.4500217,216,203,419,2.25
12.524319,263,261,524,3.5
13.798257,2632,2341,4973,3
13.797861,1487,1361,2848,4
11.364239,220,203,423,2.125
16.070028,7730,7335,15065,3.75
17.394081,15096,14441,29537,3.5
15.217877,327,342,669,3.75
12.767362,541,459,1000,2.875
14.28059,1460,1358,2818,2.875
15.284467,14774,14590,29364,4
15.061679,9783,8977,18760,3
15.535363,7062,6650,13712,2.5
16.485397,902,773,1675,3
8.8583307,158,137,295,3.75
9.166667,152,155,307,3.375
10.137582,216,205,421,2.75
9.3272409,319,280,599,2.75
